state_id,rate,y_year_id
1,0.4,1
2,0.46,1
3,0.49,1
4,0.49,1
5,0.47,1
6,0.55,1
7,0.59,1
8,0.55,1
9,0.52,1
10,0.49,1
11,0.51,1
12,0.52,1
13,0.52,1
14,0.54,1
15,0.53,1
16,0.49,1
17,0.53,1
18,0.46,1
19,0.53,1
20,0.58,1
21,0.6,1
22,0.54,1
23,0.5,1
24,0.49,1
25,0.51,1
26,0.47,1
27,0.49,1
28,0.49,1
29,0.56,1
30,0.58,1
31,0.51,1
32,0.59,1
33,0.49,1
34,0.49,1
35,0.54,1
36,0.45,1
37,0.49,1
38,0.57,1
39,0.61,1
40,0.52,1
41,0.52,1
42,0.55,1
43,0.47,1
44,0.59,1
45,0.52,1
46,0.54,1
47,0.48,1
48,0.46,1
49,0.54,1
50,0.47,1
1,0.46,2
2,0.49,2
3,0.49,2
4,0.47,2
5,0.55,2
6,0.59,2
7,0.55,2
8,0.54,2
9,0.49,2
10,0.51,2
11,0.52,2
12,0.52,2
13,0.54,2
14,0.53,2
15,0.49,2
16,0.53,2
17,0.46,2
18,0.53,2
19,0.58,2
20,0.6,2
21,0.54,2
22,0.5,2
23,0.49,2
24,0.51,2
25,0.47,2
26,0.49,2
27,0.49,2
28,0.56,2
29,0.58,2
30,0.51,2
31,0.59,2
32,0.49,2
33,0.49,2
34,0.54,2
35,0.45,2
36,0.49,2
37,0.57,2
38,0.61,2
39,0.52,2
40,0.52,2
41,0.55,2
42,0.47,2
43,0.59,2
44,0.52,2
45,0.54,2
46,0.48,2
47,0.46,2
48,0.54,2
49,0.47,2
50,0.4,2
1,0.39,3
2,0.37,3
3,0.48,3
4,0.4,3
5,0.46,3
6,0.44,3
7,0.51,3
8,0.5,3
9,0.47,3
10,0.43,3
11,0.41,3
12,0.42,3
13,0.47,3
14,0.44,3
15,0.44,3
16,0.41,3
17,0.42,3
18,0.4,3
19,0.4,3
20,0.51,3
21,0.51,3
22,0.47,3
23,0.41,3
24,0.44,3
25,0.43,3
26,0.38,3
27,0.4,3
28,0.48,3
29,0.48,3
30,0.5,3
31,0.41,3
32,0.53,3
33,0.45,3
34,0.37,3
35,0.48,3
36,0.41,3
37,0.45,3
38,0.48,3
39,0.5,3
40,0.43,3
41,0.38,3
42,0.42,3
43,0.44,3
44,0.49,3
45,0.37,3
46,0.46,3
47,0.45,3
48,0.39,3
49,0.43,3
50,0.41,3